# Requirements automatically generated by pigar.
# https://github.com/damnever/pigar

# src/detection/tl_detection/scripts/cython_utils/setup.backup.py: 3
# src/detection/tl_detection/scripts/cython_utils/setup.py: 3
Cython == 0.28.2
# src/simulation/scripts/manual_control.py: 50
# src/steering_control/scripts/komanda.py: 15
# src/steering_control/scripts/preprocess_dataset.py: 10
# src/steering_control/scripts/rambo.py: 7
# src/steering_control/scripts/simulation.py: 11
# src/steering_control/scripts/train.py: 11
# src/steering_control/scripts/utils.py: 11
# src/steering_control/scripts/validation.py: 1
# src/steering_control/scripts/validation_viz.py: 9
# src/steering_control/scripts/visualization/data.py: 4
# src/steering_control/scripts/visualization/dataset_viz.py: 9
# src/steering_control/scripts/visualization/testing_visualizer.py: 9
# src/steering_control/scripts/visualization/visualization.py: 8
numpy == 1.14.3

# src/cruise_control/ml/visualization.py: 8
# src/cruise_control/scripts/utils.py: 1
# src/detection/lane_detection/scripts/lane_detector.py: 7
# src/detection/lane_detection/scripts/utils.py: 7
# src/detection/object_detection/scripts/device_test.py: 28
# src/detection/tl_detection/scripts/darkflow.py: 4
# src/detection/tl_detection/scripts/net/flow.py: 2
# src/detection/tl_detection/scripts/net/help.py: 9
# src/detection/tl_detection/scripts/net/yolo/misc.py: 3
# src/detection/tl_detection/scripts/net/yolov2/test.py: 3
# src/detection/tl_detection/scripts/run.py: 3
# src/detection/tl_detection/scripts/tlight_node.py: 6
# src/detection/tl_detection/scripts/utils/im_transform.py: 2
# src/detection/tl_detection/scripts/utils/images_to_mp4.py: 1
# src/detection/tl_detection/scripts/utils/udacity_voc_csv.py: 8
# src/segmentation/scripts/segmentation_analyzer.py: 1
# src/segmentation/scripts/segmentor.py: 14
# src/segmentation/scripts/test.py: 1
# src/segmentation/scripts/utils.py: 9
# src/segmentation/scripts/visualization.py: 14
# src/simulation/scripts/client.py: 22
# src/steering_control/scripts/autumn.py: 7
# src/steering_control/scripts/komanda.py: 14
# src/steering_control/scripts/preprocess_dataset.py: 6
# src/steering_control/scripts/rambo.py: 13
# src/steering_control/scripts/simulation.py: 10
# src/steering_control/scripts/utils.py: 10
# src/steering_control/scripts/validation.py: 7
# src/steering_control/scripts/validation_viz.py: 10
# src/steering_control/scripts/visualization/data.py: 1
# src/steering_control/scripts/visualization/dataset_viz.py: 10
# src/steering_control/scripts/visualization/testing_visualizer.py: 10
# src/steering_control/scripts/visualization/visualization.py: 14
opencv_python == 3.4.0.12

# src/cruise_control/ml/train.py: 6
# src/cruise_control/ml/visualization.py: 10
# src/cruise_control/scripts/utils.py: 5
# src/segmentation/scripts/train.py: 7
# src/segmentation/scripts/visualization.py: 15
# src/steering_control/scripts/preprocess_dataset.py: 7
# src/steering_control/scripts/train.py: 10
# src/steering_control/scripts/utils.py: 12
# src/steering_control/scripts/validation.py: 4
# src/steering_control/scripts/validation_viz.py: 12
# src/steering_control/scripts/visualization/dataset_viz.py: 12
# src/steering_control/scripts/visualization/testing_visualizer.py: 12
pandas == 0.22.0

# src/cruise_control/ml/visualization.py: 9
# src/segmentation/scripts/visualization.py: 19
# src/simulation/scripts/manual_control.py: 37,38,39,40,41,42,43,44,45,46,47,48,49
# src/steering_control/scripts/preprocess_dataset.py: 9
# src/steering_control/scripts/validation_viz.py: 11
# src/steering_control/scripts/visualization/dataset_viz.py: 11
# src/steering_control/scripts/visualization/testing_visualizer.py: 11
pygame == 1.9.3

# src/cruise_control/ml/sc.py: 6
# src/steering_control/scripts/mc.py: 6
pyserial == 3.4

# src/segmentation/scripts/steering_simulation.py: 4
# src/steering_control/scripts/simulation.py: 12
python_socketio == 1.9.0

# docs/source/conf.py: 162
recommonmark == 0.4.0

# src/steering_control/scripts/preprocess_dataset.py: 11
# src/steering_control/scripts/rambo.py: 11
# src/steering_control/scripts/validation_viz.py: 36
# src/steering_control/scripts/visualization/dataset_viz.py: 25
# src/steering_control/scripts/visualization/testing_visualizer.py: 19
# src/steering_control/scripts/visualization/visualization.py: 12
scikit_image == 0.13.1

# src/segmentation/scripts/segmentation_analyzer.py: 4
# src/segmentation/scripts/steering_simulation.py: 11
# src/segmentation/scripts/utils.py: 14
# src/steering_control/scripts/auto_pilot.py: 6
# src/steering_control/scripts/autumn.py: 6
# src/steering_control/scripts/komanda.py: 12
# src/steering_control/scripts/models/AutoPilot_model.py: 2
# src/steering_control/scripts/rambo.py: 12
# src/steering_control/scripts/simulation.py: 17
# src/steering_control/scripts/validation.py: 10
scipy == 1.1.0

# src/detection/object_detection/scripts/yad2k/models/keras_yolo.py: 5,31
# src/detection/tl_detection/scripts/net/build.py: 1
# src/detection/tl_detection/scripts/net/flow.py: 5
# src/detection/tl_detection/scripts/net/help.py: 6
# src/detection/tl_detection/scripts/net/ops/baseop.py: 1
# src/detection/tl_detection/scripts/net/ops/convolution.py: 1,3
# src/detection/tl_detection/scripts/net/ops/simple.py: 1,3
# src/detection/tl_detection/scripts/net/yolo/train.py: 1,3
# src/detection/tl_detection/scripts/net/yolov2/train.py: 1,3
# src/detection/tl_detection/scripts/utils/loader.py: 1
# src/steering_control/scripts/auto_pilot.py: 5
# src/steering_control/scripts/autumn.py: 11,16
# src/steering_control/scripts/komanda.py: 16
# src/steering_control/scripts/models/AutoPilot_model.py: 1
# src/steering_control/scripts/models/models.py: 11
tensorflow == 1.8.0
